.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Nevada,2007,18th,"5,925","13,058","649,736","91,287","141,904","1,063,242",-,451,2,"1,409",1,119,10,284,318,85,84,"22,146","4,288","8,292","1,705",203,,Urban Interstate Percent Congested,5.80%
New Hampshire,2007,18th,"4,034","8,857","247,594","219,949","50,248","660,006",1,149,7,362,7,77,9,222,78,43,-,"13,459","3,714","4,034","2,364",741,,Urban Interstate Percent Congested,39.30%
New Jersey,2007,18th,"3,333","8,504","1,895,597","440,193","208,657","3,850,112",4,65,2,254,64,361,384,"1,607",608,69,331,"76,152","4,275","43,072","6,448","2,251",,Urban Interstate Percent Congested,42.90%
New Mexico,2007,18th,"12,198","29,301","382,135","201,539","73,839","825,295",-,846,2,"1,831",-,156,34,666,341,192,29,"26,850","9,531","6,995","3,850",698,,Urban Interstate Percent Congested,72.20%
New York,2007,18th,"16,296","38,055","2,710,761","2,086,610","327,312","6,634,456",64,832,23,"1,537",88,818,878,"2,785",991,434,284,"136,737","15,407","57,492","17,361","6,646",,Urban Interstate Percent Congested,19.20%
North Caroli,2007,18th,"80,036","169,612","1,743,043","794,374","274,850","3,246,833",17,541,10,"1,963",16,567,87,"1,776","1,166",415,160,"103,598","20,425","32,126","17,783","5,059",,Urban Interstate Percent Congested,59.50%
North Dakota,2007,18th,"7,407","16,987","297,214","20,482","14,451","353,116",-,519,24,"2,932",-,52,11,167,73,54,3,"7,844","3,713","1,037","4,458",992,,Urban Interstate Percent Congested,50.30%
Ohio,2007,18th,"22,508","48,970","1,814,125","405,428","202,042","3,055,443",4,724,4,"1,968",15,849,179,"2,417","1,011",275,191,"110,631","20,101","41,483","27,998","6,863",,Urban Interstate Percent Congested,63.50%
Oklahoma,2007,18th,"13,496","30,057","637,806","179,573","108,578","1,230,978",7,683,59,"2,317",27,249,183,"1,039",650,295,128,"47,572","12,915","12,773","23,524","7,407",,Urban Interstate Percent Congested,36.10%
Oregon,2007,18th,"8,163","18,266","709,125","490,686","84,701","1,602,870",-,554,11,"2,783",-,172,48,756,397,189,51,"34,750","11,159","11,059","7,318","1,669",,Urban Interstate Percent Congested,40.70%
Pennsylvania,2007,18th,"43,621","88,445","2,553,171","1,609,556","482,324","5,757,846",5,"1,070",9,"1,925",14,673,141,"2,825","1,186",351,365,"108,699","24,671","40,008","22,325","9,736",,Urban Interstate Percent Congested,42.30%
Rhode Island,2007,18th,"1,108","2,908","258,043","89,146","52,935","483,443",-,22,5,49,-,49,72,360,20,1,11,"8,636",687,"5,436",748,396,,Urban Interstate Percent Congested,59.50%
South Caroli,2007,18th,"41,628","89,861","602,211","548,386","111,901","1,431,242",1,580,2,"1,282",2,262,40,"1,057","1,003",522,64,"51,109","16,757","14,690","9,221","2,068",,Urban Interstate Percent Congested,50.00%
South Dakota,2007,18th,"8,488","18,071","224,005","63,236","47,209","360,763",-,602,35,"2,534",4,76,13,120,127,72,4,"9,005","4,642","1,241","5,924","1,477",,Urban Interstate Percent Congested,0.00%
Tennessee,2007,18th,"14,232","36,420","930,209","246,227","143,910","1,357,226",2,689,6,"1,871",5,417,57,"1,545","1,028",361,260,"71,179","20,083","24,722","19,838","4,101",,Urban Interstate Percent Congested,49.40%
Texas,2007,18th,"80,134","192,345","9,645,909","1,399,761","329,917","12,664,930",9,"2,091",5,"7,001",53,"1,046",610,"5,117","2,549",918,863,"243,443","55,922","103,343","50,271","10,037",,Urban Interstate Percent Congested,54.50%
Utah,2007,18th,"5,831","15,188","745,153","119,485","75,443","1,119,691",7,723,6,986,4,212,4,340,186,150,36,"26,832","5,912","9,524","2,851",487,,Urban Interstate Percent Congested,39.80%
Vermont,2007,18th,"2,843","6,043","144,869","73,076","36,871","303,222",8,279,5,320,7,41,9,103,43,27,2,"7,694","3,004",906,"2,712",967,,Urban Interstate Percent Congested,39.90%
Virginia,2007,18th,"57,766","124,891","1,077,432","989,330","332,502","2,885,864",-,666,1,"1,408",13,445,77,"1,251",853,300,214,"82,077","21,340","31,225","13,417","3,442",,Urban Interstate Percent Congested,2.50%
Washington,2007,18th,"17,837","18,392","1,440,123","385,400","125,957","2,398,375",11,467,13,"1,980",11,296,255,"1,307",457,188,89,"56,939","10,696","25,137","7,651","2,061",,Urban Interstate Percent Congested,38.50%
West Virginia,2007,18th,"34,304","70,491","644,353","241,677","82,180","1,056,896",6,376,9,"1,051",6,177,15,332,367,206,36,"20,564","7,485","4,951","7,001","2,573",,Urban Interstate Percent Congested,44.20%
Wisconsin,2007,18th,"11,838","29,417","1,002,340","192,246","146,333","1,666,713",15,478,9,"3,183",14,262,153,"1,603",625,221,140,"59,493","19,027","18,308","13,798","2,091",,Urban Interstate Percent Congested,5.60%
Wyoming,2007,18th,"7,857","15,612","273,247","124,311","54,707","484,327",11,815,1,"1,983",5,97,19,199,130,80,16,"9,366","4,771","1,205","3,030",620,,Urban Interstate Percent Congested,0.00%
Alabama,2008,19th,"11,107","28,121","902,279","167,057","198,652","1,413,398",12,537,0,"2,128",6,350,3,"1,003",784,294,172,"59,303","15,997","15,341","15,806","3,638",,Urban Interstate Percent Congested,53.70%
Alaska,2008,19th,"8,453","11,699","379,094","237,404","53,298","729,225",109,"1,014",53,503,1,69,3,61,54,33,7,"4,865","1,270","1,110",949,216,,Urban Interstate Percent Congested,4.30%
Arizo,2008,19th,"7,142","18,819","1,014,921","134,167","300,774","1,852,818",0,982,5,"1,166",0,188,56,"1,017",803,278,243,"61,628","12,075","25,892","7,277",834,,Urban Interstate Percent Congested,46.30%
Arkansas,2008,19th,"16,431","37,119","595,739","167,270","29,920","906,464",14,447,17,"2,228",9,206,37,605,460,241,97,"33,163","12,265","8,142","12,406","2,582",,Urban Interstate Percent Congested,45.40%
California,2008,19th,"18,273","50,541","4,843,453","977,119","1,707,873","9,975,051",209,"1,281",39,"3,489",291,"1,177","1,353","6,333","3,051",732,"1,232","327,286","43,208","183,209","23,951","4,523",,Urban Interstate Percent Congested,79.80%
Colorado,2008,19th,"9,764","22,948","691,518","248,816","191,018","1,436,955",18,682,23,"2,317",18,271,109,"1,189",504,206,174,"47,860","11,141","21,126","8,119","1,117",,Urban Interstate Percent Congested,47.60%
Connecticut,2008,19th,"4,048","9,800","553,557","119,382","232,503","1,335,656",0,43,1,165,12,302,68,685,222,19,111,"31,737","2,015","17,275","4,176","1,507",,Urban Interstate Percent Congested,66.70%
Delaware,2008,19th,"5,372","11,693","247,399","112,196","82,997","683,120",0,0,0,165,2,40,18,177,96,29,32,"8,976","1,579","3,467",858,161,,Urban Interstate Percent Congested,24.40%
Florida,2008,19th,"12,084","42,439","5,200,767","1,003,778","235,957","8,112,789",0,749,0,"2,856",0,719,25,"3,559","1,866",480,"1,075","198,616","24,280","76,781","11,050","1,972",,Urban Interstate Percent Congested,47.90%
Georgia,2008,19th,"18,294","47,498","2,569,015","221,831","230,001","3,693,765",0,681,0,"2,626",0,515,6,"1,917","1,171",345,304,"109,057","22,459","34,419","14,567","2,754",,Urban Interstate Percent Congested,46.00%
Hawaii,2008,19th,"1,005","2,477","260,763","49,440","57,543","422,789",0,6,3,111,12,48,26,228,90,32,21,"10,278","1,280","4,342","1,175",446,,Urban Interstate Percent Congested,47.90%
Idaho,2008,19th,"4,959","12,137","415,831","111,453","29,035","635,385",7,522,2,"1,710",7,89,18,343,207,112,35,"15,251","5,388","3,251","3,628",689,,Urban Interstate Percent Congested,35.20%
Illinois,2008,19th,"16,747","42,150","2,970,023","742,902","373,574","5,537,804",0,"1,356",23,"2,354",48,825,409,"3,104",885,200,288,"106,079","17,454","44,965","26,254","4,443",,Urban Interstate Percent Congested,42.80%
India,2008,19th,"11,215","28,458","1,579,927","121,813","382,857","2,486,954",0,707,0,"1,591",13,464,122,"1,873",417,165,20,"70,973","15,411","21,655","18,588","4,091",,Urban Interstate Percent Congested,23.30%
Iowa,2008,19th,"9,444","23,036","526,150","185,697","48,510","878,085",14,628,58,"3,461",13,152,92,735,328,199,32,"30,713","12,692","6,012","24,799","6,678",,Urban Interstate Percent Congested,38.80%
Kansas,2008,19th,"10,607","23,988","703,493","165,573","69,953","1,188,434",0,646,1,"3,029",0,198,46,780,318,171,48,"29,727","9,827","9,035","25,938","5,153",,Urban Interstate Percent Congested,22.90%
Kentucky,2008,19th,"27,886","61,499","1,532,241","362,112","31,328","2,144,835",0,554,4,"2,358",1,209,24,792,676,263,91,"47,534","16,482","12,509","13,606","3,872",,Urban Interstate Percent Congested,62.70%
Louisia,2008,19th,"16,702","38,501","1,867,305","467,270","50,716","2,485,479",7,477,8,981,33,318,186,"1,045",714,199,190,"45,091","11,045","15,364","13,154","3,867",,Urban Interstate Percent Congested,44.80%
Maine,2008,19th,"8,665","18,115","283,437","257,843","22,224","712,882",0,298,18,787,0,67,13,142,126,67,7,"14,559","5,896","1,708","2,285",636,,Urban Interstate Percent Congested,2.90%
Maryland,2008,19th,"5,407","14,671","1,427,948","335,368","86,029","2,170,860",0,182,2,434,20,287,227,"1,072",524,113,223,"55,023","9,001","28,734","5,139","1,337",,Urban Interstate Percent Congested,69.20%
Massachusetts,2008,19th,"3,605","8,659","595,348","380,942","259,496","2,386,488",0,91,1,167,0,476,315,"1,843",194,13,145,"54,505","2,613","31,461","5,041","1,834",,Urban Interstate Percent Congested,41.60%
Michigan,2008,19th,"9,688","27,459","1,304,556","301,729","195,745","2,218,262",18,608,4,"2,574",44,634,392,"2,301",832,286,229,"101,825","18,825","40,080","10,840","2,650",,Urban Interstate Percent Congested,68.10%
Minnesota,2008,19th,"12,905","29,266","945,278","405,656","140,053","1,669,409",23,630,5,"3,574",4,284,14,564,399,175,60,"57,995","16,341","16,666","13,709","1,833",,Urban Interstate Percent Congested,77.70%
Mississippi,2008,19th,"11,062","27,743","838,350","114,084","76,751","1,115,694",7,490,7,"1,872",7,208,112,"1,033",641,177,34,"43,711","13,543","9,442","16,573","4,089",,Urban Interstate Percent Congested,29.80%
Missouri,2008,19th,"33,677","75,656","1,234,237","497,124","70,677","2,176,638",0,722,2,"3,135",6,460,52,995,818,325,200,"68,273","17,596","24,072","24,096","7,103",,Urban Interstate Percent Congested,43.90%
Monta,2008,19th,"11,135","24,490","401,116","102,907","67,223","631,879",4,"1,130",0,"2,620",2,61,22,184,185,142,9,"10,812","5,655","1,288","4,862",857,,Urban Interstate Percent Congested,
Nebraska,2008,19th,"10,208","22,487","376,923","154,939","33,466","646,871",0,421,17,"2,694",0,61,86,453,175,117,11,"19,170","8,080","4,509","14,986","3,536",,Urban Interstate Percent Congested,41.00%
Nevada,2008,19th,"5,921","13,055","465,116","120,548","141,886","906,377",0,443,4,"1,410",2,126,10,275,287,94,76,"20,780","3,819","7,919","1,780",195,,Urban Interstate Percent Congested,54.40%
New Hampshire,2008,19th,"4,025","8,825","255,881","235,559","59,625","647,621",0,150,1,357,2,76,10,201,77,30,2,"13,040","3,599","3,861","2,459",757,,Urban Interstate Percent Congested,35.50%
New Jersey,2008,19th,"3,332","8,480","1,790,173","412,648","209,077","3,798,609",4,65,2,254,64,361,389,"1,615",494,32,270,"73,629","4,179","41,808","6,470","1,776",,Urban Interstate Percent Congested,63.80%
New Mexico,2008,19th,"12,166","29,237","253,607","237,535","197,725","796,272",0,846,2,"1,831",0,156,34,666,327,207,61,"26,279","9,342","6,916","3,695",596,,Urban Interstate Percent Congested,18.70%
New York,2008,19th,"16,302","38,142","2,520,982","1,441,205","1,454,044","6,555,331",51,839,10,"1,497",93,826,859,"2,751",776,406,220,"134,085","14,856","56,490","17,399","6,455",,Urban Interstate Percent Congested,46.00%
North Caroli,2008,19th,"80,214","170,084","2,083,426","676,613","223,221","3,425,425",9,542,8,"1,949",12,583,60,"1,774",961,373,127,"101,712","19,504","31,890","18,244","5,543",,Urban Interstate Percent Congested,60.90%
North Dakota,2008,19th,"7,407","16,986","300,635","29,751","14,944","371,043",0,518,11,"2,931",0,52,22,170,69,47,7,"7,820","3,707","1,033","4,269",898,,Urban Interstate Percent Congested,
Ohio,2008,19th,"20,394","49,034","1,806,450","438,309","321,381","3,229,417",4,724,8,"1,964",14,849,204,"2,401",964,265,189,"108,302","19,480","40,270","30,617","6,993",,Urban Interstate Percent Congested,63.10%
Oklahoma,2008,19th,"13,490","30,114","866,652","222,129","120,326","1,580,399",18,684,36,"2,317",33,248,184,"1,041",616,222,142,"48,499","12,790","12,772","23,646","6,904",,Urban Interstate Percent Congested,37.10%
Oregon,2008,19th,"8,166","18,264","711,376","213,626","79,442","1,219,982",0,554,5,"2,784",2,173,58,759,370,154,52,"33,468","10,527","10,635","6,664","1,536",,Urban Interstate Percent Congested,39.20%
Pennsylvania,2008,19th,"43,612","88,475","2,714,483","1,607,167","499,377","5,697,179",4,"1,096",12,"1,929",10,682,142,"2,833","1,176",395,332,"107,848","24,391","39,306","23,562","9,130",,Urban Interstate Percent Congested,42.30%
Rhode Island,2008,19th,"1,111","2,923","176,645","89,442","21,409","401,170",0,22,5,49,0,49,72,362,35,7,23,"8,187",664,"5,105",773,413,,Urban Interstate Percent Congested,56.00%
South Caroli,2008,19th,"41,620","89,976","549,986","339,780","353,748","1,427,533",1,581,2,"1,281",2,262,42,"1,057",909,473,23,"49,597","16,005","14,331","9,188","2,091",,Urban Interstate Percent Congested,50.00%
South Dakota,2008,19th,"8,895","18,071","244,451","81,305","47,082","402,861",0,601,41,"2,534",5,76,14,120,105,62,8,"8,986","4,627","1,250","5,810","1,442",,Urban Interstate Percent Congested,
Tennessee,2008,19th,"14,220","36,521","868,846","263,682","165,250","1,326,678",1,687,6,"1,866",6,416,66,"1,552",868,274,231,"69,469","19,135","24,367","19,535","3,467",,Urban Interstate Percent Congested,47.80%
Texas,2008,19th,"80,212","193,188","7,101,872","1,441,105","523,734","15,471,712",1,"2,058",12,"7,459",18,"1,171",630,"5,668","2,399",862,833,"235,382","47,857","109,323","50,316","9,564",,Urban Interstate Percent Congested,48.60%
Utah,2008,19th,"5,841","15,699","524,841","137,812","183,945","1,033,324",7,721,6,976,4,212,4,366,206,141,58,"25,974","5,637","9,270","2,863",457,,Urban Interstate Percent Congested,40.60%
Vermont,2008,19th,"2,840","6,038","130,905","81,420","36,228","328,170",4,279,3,319,7,40,21,103,64,29,10,"7,312","2,828",882,"2,683",950,,Urban Interstate Percent Congested,2.50%
Virginia,2008,19th,"57,957","125,281","1,355,251","1,205,018","369,203","3,525,852",0,668,1,"1,371",14,444,79,"1,248",680,240,163,"82,278","20,583","31,215","13,228","3,447",,Urban Interstate Percent Congested,37.90%
Washington,2008,19th,"17,835","18,443","1,698,280","673,633","190,189","2,988,336",10,466,2,"1,981",8,297,261,"1,319",448,155,110,"55,558","10,179","24,495","7,055","1,842",,Urban Interstate Percent Congested,31.20%
West Virginia,2008,19th,"34,456","70,792","734,389","266,888","90,503","1,207,679",6,355,11,"1,052",6,198,16,333,331,132,57,"20,774","7,382","5,185","6,974","2,540",,Urban Interstate Percent Congested,7.50%
Wisconsin,2008,19th,"11,839","29,481","1,130,373","227,256","161,685","1,801,992",16,478,11,"3,177",20,265,163,"1,636",487,179,110,"57,462","18,329","18,020","13,899","1,987",,Urban Interstate Percent Congested,44.20%
Wyoming,2008,19th,"7,854","15,594","361,366","119,004","55,184","573,994",1,815,6,"1,984",7,96,18,200,140,96,12,"9,447","4,725","1,245","2,785",377,,Urban Interstate Percent Congested,
Alabama,2009,20th,"11,107","28,121","951,106","160,406","184,536","1,456,157",17,535,6,"2,204",30,370,13,919,582,136,151,"61,300","12,263","15,334","15,843","3,512",,Urban Interstate Percent Congested,5368.00%
Alaska,2009,20th,"7,401","11,699","578,918","240,030","56,202","933,702",59,"1,004",106,557,1,78,3,69,57,21,13,"4,933","1,168","1,147",963,220,,Urban Interstate Percent Congested,216.00%
Arizo,2009,20th,"7,142","18,819","1,216,653","142,088","267,085","2,168,879",0,982,5,"1,166",0,188,56,"1,017",618,162,203,"61,628","9,752","25,892","7,440",760,,Urban Interstate Percent Congested,4628.00%
Arkansas,2009,20th,"16,431","37,119","530,273","173,946","32,604","908,538",16,436,13,"2,043",14,204,38,569,378,164,68,"33,154","8,706","8,465","12,451","2,579",,Urban Interstate Percent Congested,4541.00%
California,2009,20th,"18,260","50,541","5,849,124","2,737,812","1,409,389","12,403,979",92,"1,281",33,"3,517",190,"1,176","1,332","6,441","2,521",732,"1,028","324,486","33,865","181,498","25,033","4,400",,Urban Interstate Percent Congested,8035.00%
Colorado,2009,20th,"9,764","22,948","841,307","227,847","220,400","1,591,802",46,681,11,"2,319",15,271,129,"1,132",351,122,132,"46,230","8,176","20,443","8,148","1,098",,Urban Interstate Percent Congested,4758.00%
Connecticut,2009,20th,"4,064","9,800","659,277","112,391","330,181","2,143,340",0,43,1,163,13,304,69,683,187,11,102,"31,420","1,529","17,167","4,174","1,508",,Urban Interstate Percent Congested,6795.00%
Delaware,2009,20th,"5,386","11,693","334,746","108,347","93,621","711,126",0,,0,165,4,40,11,175,96,24,29,"9,080","1,330","3,474",857,175,,Urban Interstate Percent Congested,2503.00%
Florida,2009,20th,"12,084","42,439","4,443,504","925,110","238,818","6,658,827",1,646,7,"2,490",9,617,119,"3,147","1,508",319,935,"196,379","19,520","75,370","11,208","1,927",,Urban Interstate Percent Congested,4791.00%
Georgia,2009,20th,"18,283","47,498","2,100,782","213,370","428,314","3,392,948",1,695,0,"2,639",0,515,6,"1,894",912,197,269,"109,258","15,738","34,544","14,535","2,862",,Urban Interstate Percent Congested,4684.00%
Hawaii,2009,20th,"1,011","2,477","276,618","55,781","80,042","466,886",0,6,3,110,13,48,17,228,81,13,32,"9,973",638,"4,176","1,180",449,,Urban Interstate Percent Congested,4243.00%
Idaho,2009,20th,"4,959","12,137","485,090","104,496","29,477","679,903",7,522,2,"1,682",6,90,13,350,168,84,28,"15,531","4,372","3,374","3,642",676,,Urban Interstate Percent Congested,3315.00%
Illinois,2009,20th,"16,735","42,150","2,852,653","788,154","250,695","4,651,944",0,"1,356",13,"2,349",48,825,339,"3,139",701,141,240,"105,846","12,665","44,906","26,327","4,328",,Urban Interstate Percent Congested,4113.00%
India,2009,20th,"11,175","28,458","1,579,927","121,813","382,857","2,486,954",0,703,4,"1,594",17,467,133,"1,874",279,53,24,"76,628","11,668","21,642","18,635","3,991",,Urban Interstate Percent Congested,1951.00%
Iowa,2009,20th,"9,515","23,036","680,583","188,138","69,381","1,060,159",13,628,68,"3,464",10,152,101,744,228,106,31,"31,065","10,296","6,122","24,581","6,661",,Urban Interstate Percent Congested,3599.00%
Kansas,2009,20th,"10,607","23,988","744,351","166,668","69,844","1,158,268",1,656,1,"3,050",1,217,34,785,237,126,19,"29,497","7,557","8,986","25,487","4,884",,Urban Interstate Percent Congested,2290.00%
Kentucky,2009,20th,"27,891","61,499","1,488,876","376,354","17,984","2,219,777",0,552,1,"2,360",1,210,19,793,565,180,75,"47,355","13,598","12,422","13,703","4,351",,Urban Interstate Percent Congested,6105.00%
Louisia,2009,20th,"16,694","38,501","2,973,935","327,469","52,723","3,475,876",1,476,7,980,27,318,171,"1,018",610,74,194,"44,863","7,919","15,268","13,166","3,804",,Urban Interstate Percent Congested,3612.00%
Maine,2009,20th,"8,652","18,115","299,913","220,807","24,331","627,427",0,299,25,787,0,68,11,140,81,40,3,"14,491","4,061","1,703","2,293",638,,Urban Interstate Percent Congested,235.00%
Maryland,2009,20th,"5,413","14,671","1,428,578","386,165","94,376","2,288,760",0,182,1,436,16,288,211,"1,075",451,50,199,"55,293","7,003","28,886","5,157","1,328",,Urban Interstate Percent Congested,6985.00%
Massachusetts,2009,20th,"3,639","8,659","752,115","397,205","252,735","2,339,079",0,91,0,166,2,477,287,"1,848",196,5,163,"54,812","2,159","31,600","5,119","1,809",,Urban Interstate Percent Congested,4287.00%
Michigan,2009,20th,"9,701","27,459","1,272,105","295,922","122,088","2,152,192",20,607,7,"2,574",24,635,435,"2,299",655,77,254,"96,769","12,036","37,738","10,818","2,568",,Urban Interstate Percent Congested,3634.00%
Minnesota,2009,20th,"12,905","29,266","848,952","437,633","134,999","1,662,800",59,633,27,"3,603",16,281,17,553,306,92,49,"56,879","11,452","16,561","13,711","1,776",,Urban Interstate Percent Congested,7766.00%
Mississippi,2009,20th,"10,997","27,743","707,655","127,600","73,253","1,037,888",4,488,3,"1,900",6,212,104,"1,022",546,136,56,"40,427","9,308","9,017","16,610","3,925",,Urban Interstate Percent Congested,2971.00%
Missouri,2009,20th,"33,638","75,656","1,474,105","526,300","71,924","2,476,312",0,723,4,"3,134",7,459,52,992,636,169,181,"69,003","14,157","23,995","24,209","6,860",,Urban Interstate Percent Congested,3445.00%
Monta,2009,20th,"11,134","24,490","435,888","107,326","56,018","665,100",12,"1,129",1,"2,621",4,62,23,184,147,98,11,"11,011","4,688","1,331","4,884",879,,Urban Interstate Percent Congested,0.00%
Nebraska,2009,20th,"10,170","22,487","426,708","175,214","28,024","708,092",0,421,15,"2,693",2,62,89,453,137,71,18,"19,359","5,728","4,555","14,897","3,449",,Urban Interstate Percent Congested,3568.00%
Nevada,2009,20th,"6,085","13,055","738,746","137,254","134,787","1,215,245",0,452,1,"1,408",1,120,10,290,207,74,41,"20,454","3,445","7,741","1,803",190,,Urban Interstate Percent Congested,5395.00%
New Hampshire,2009,20th,"4,025","8,825","223,252","208,415","63,564","603,105",1,149,0,336,0,76,14,221,53,13,-,"12,975","2,661","3,774","2,473",746,,Urban Interstate Percent Congested,3553.00%
New Jersey,2009,20th,"3,333","8,480","1,594,245","616,875","166,289","4,070,485",0,65,2,254,58,362,388,"1,614",499,26,281,"73,029","3,408","41,378","6,493","1,755",,Urban Interstate Percent Congested,6277.00%
New Mexico,2009,20th,"12,166","29,237","528,164","152,547","235,146","1,110,105",0,846,2,"1,831",0,156,34,666,354,251,95,"26,013","7,537","6,880","3,708",592,,Urban Interstate Percent Congested,1937.00%
New York,2009,20th,"16,301","38,142","2,760,761","1,396,630","312,265","6,098,355",51,839,10,"1,497",93,826,859,"2,751",815,354,221,"133,491","9,895","56,393","17,405","6,445",,Urban Interstate Percent Congested,4643.00%
North Caroli,2009,20th,"80,214","170,084","1,989,813","693,956","324,030","3,512,157",8,528,17,"1,814",13,596,96,"1,636",941,367,73,"102,590","13,738","32,696","18,318","5,412",,Urban Interstate Percent Congested,6089.00%
North Dakota,2009,20th,"7,408","16,986","298,716","37,687","20,547","386,270",0,519,3,"2,932",0,51,16,169,90,66,2,"8,154","3,252","1,072","4,274",891,,Urban Interstate Percent Congested,386.00%
Ohio,2009,20th,"20,394","49,034","1,787,355","610,980","310,377","3,474,038",3,724,10,"1,935",15,850,182,"2,008",717,135,164,"110,591","15,350","40,288","30,617","6,958",,Urban Interstate Percent Congested,6308.00%
Oklahoma,2009,20th,"13,490","30,114","966,335","179,039","129,140","1,547,597",22,684,44,"2,326",29,249,183,"1,050",538,146,129,"46,997","10,042","13,133","23,798","6,799",,Urban Interstate Percent Congested,3710.00%
Oregon,2009,20th,"8,175","18,264","684,589","213,796","129,515","1,217,326",0,554,5,"2,794",1,173,41,760,292,134,35,"33,972","8,696","10,710","6,701","1,530",,Urban Interstate Percent Congested,3976.00%
Pennsylvania,2009,20th,"43,612","88,475","3,459,225","1,730,356","455,090","6,533,654",11,"1,085",5,"1,557",14,679,113,"2,419",854,149,301,"103,206","16,660","37,332","23,533","8,851",,Urban Interstate Percent Congested,4187.00%
Rhode Island,2009,20th,"1,112","2,923","150,197","109,307","30,902","384,825",0,22,5,49,0,49,72,362,64,9,45,"8,250",532,"5,133",789,417,,Urban Interstate Percent Congested,5734.00%
South Caroli,2009,20th,"41,613","89,976","645,602","359,292","90,710","1,305,761",12,581,2,"1,287",3,261,33,"1,052",710,302,12,"49,130","10,893","14,121","9,206","2,043",,Urban Interstate Percent Congested,4783.00%
South Dakota,2009,20th,"8,895","18,071","311,973","70,820","41,389","459,260",0,601,41,"2,534",5,76,14,120,98,46,5,"8,838","3,668","1,246","5,790","1,394",,Urban Interstate Percent Congested,0.00%
Tennessee,2009,20th,"14,204","36,521","1,018,307","321,511","262,296","1,638,674",6,687,5,"1,866",9,416,76,"1,549",709,141,215,"70,226","14,129","24,527","19,601","3,414",,Urban Interstate Percent Congested,4605.00%
Texas,2009,20th,"80,212","193,188","5,364,789","1,285,943","288,814","9,419,990",8,"2,039",24,"7,274",37,"1,177",85,"3,818","1,897",429,763,"229,984","34,807","106,184","51,019","9,148",,Urban Interstate Percent Congested,4859.00%
Utah,2009,20th,"5,840","15,699","911,965","241,536","247,548","1,615,300",1,724,3,"1,060",0,211,6,364,157,79,62,"26,264","4,847","9,382","2,893",397,,Urban Interstate Percent Congested,4667.00%
Vermont,2009,20th,"2,840","6,038","155,222","86,297","33,892","339,125",4,280,5,320,0,40,21,101,45,23,5,"7,646","1,903",860,"2,688",850,,Urban Interstate Percent Congested,4178.00%
Virginia,2009,20th,"58,142","125,281","1,091,029","1,240,877","366,911","3,217,149",0,667,1,"1,345",13,448,84,"1,294",532,131,160,"80,927","15,164","31,006","13,212","3,562",,Urban Interstate Percent Congested,304.00%
Washington,2009,20th,"17,281","18,443","1,724,834","626,597","201,921","3,054,961",0,467,1,"1,981",7,298,294,"1,328",409,173,81,"56,417","8,572","24,752","7,150","1,845",,Urban Interstate Percent Congested,3813.00%
West Virginia,2009,20th,"34,596","70,792","841,764","289,994","95,672","1,398,926",9,370,13,"1,055",7,183,9,333,258,87,46,"19,606","5,366","4,845","7,006","2,509",,Urban Interstate Percent Congested,3226.00%
Wisconsin,2009,20th,"11,839","29,481","1,193,332","224,807","182,919","1,955,615",13,437,29,"2,662",19,238,152,"1,149",383,100,117,"58,157","13,809","19,689","13,966","1,955",,Urban Interstate Percent Congested,168.00%
Wyoming,2009,20th,"7,755","15,594","429,025","83,146","51,443","606,698",1,815,6,"1,984",7,96,17,199,110,59,12,"9,568","4,167","1,255","2,800",377,,Urban Interstate Percent Congested,4340.00%
Alabama,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizo,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
California,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
